artifactId,createdTimestamp,updatedTimestamp,artifactType,artifactSubtype,artifactTypeGroup,shortName,fullName,status,notes
,,,characterEncoding,singleByteCharacterEncoding,,US-ASCII,American Standard Code for Information Interchange (7-bit code unit),,
,,,characterRepertoire,closedRepertoire,,ISO/IEC 646 IRV,ISO/IEC 646 International Reference Version,,Formerly known as International Alphabet 5 (IA5)
,,,characterEncoding,multiByteCharacterEncoding,,T.51,ITU-T T.51 Latin Extended Character Set for Telematic Services,,
,,,characterEncoding,multiByteCharacterEncoding,,T.52,ITU-T T.52 Non-Latin Extended Character Set for Telematic Services,,
,,,characterEncoding,multiByteCharacterEncoding,,T.61,ITU-T T.61 Character Sets for the International Teletex Service,,
,,,characterEncoding,multiByteCharacterEncoding,,T.100,ITU-T T.100 Videotex Core Character Coding,,
,,,characterEncoding,multiByteCharacterEncoding,,T.101 DS1,ITU-T T.101 Videotex Data Syntax 1 Character Coding,,
,,,characterEncoding,multiByteCharacterEncoding,,T.101 DS2,ITU-T T.101 Videotex Data Syntax 2 Character Coding,,
,,,characterEncoding,multiByteCharacterEncoding,,T.101 DS3,ITU-T T.101 Videotex Data Syntax 3 Character Coding,,
,,,characterEncoding,unicodeTransformationFormat,,UTF-32,Unicode UTF-32,,"32-bit fixed code unit, endian-neutral, BOM allowed"
,,,characterEncoding,unicodeTransformationFormat,,UTF-32BE,Unicode UTF-32 big-endian,,"32-bit fixed code unit, big-endian, BOM prohibited"
,,,characterEncoding,unicodeTransformationFormat,,UTF-32LE,Unicode UTF-32 little-endian,,"32-bit fixed code unit, little-endian, BOM prohibited"
,,,characterEncoding,unicodeTransformationFormat,,UTF-16,Unicode UTF-16,,"16-bit code unit, 2 code units max per character, endian-neutral, BOM allowed"
,,,characterEncoding,unicodeTransformationFormat,,UTF-16BE,Unicode UTF-16 big-endian,,"16-bit code unit, 2 code units max per character, big-endian, BOM prohibited"
,,,characterEncoding,unicodeTransformationFormat,,UTF-16LE,Unicode UTF-16 little-endian,,"16-bit code unit, 2 code units max per character, little-endian, BOM prohibited"
,,,characterEncoding,unicodeTransformationFormat,,UTF-8,Unicode UTF-8,,"8-bit code unit, 4 code units max per character, BOM allowed"
,,,characterRepertoire,openRepertoire,,Unicode / UCS,Unicode / ISO/IEC Universal Coded Character Set,,Unicode and ISO/IEC 10646 share a code-for-code character repertoire
,,,compatibilityEncoding,substitutionEncoding,,URL encoding,URL Percent-Encoding,,
,,,compatibilityEncoding,substitutionEncoding,,Numeric Character Reference,Numeric Character Reference,,
,,,compatibilityEncoding,stringTransformationTranscoding,,Punycode,Punycode,,
,,,binaryEncoding,binaryToTextEncoding,,Base16,Base16 binary encoding,,
,,,binaryEncoding,binaryToTextEncoding,,Base32,Base32 binary encoding (standard),,
