authorityId,createdTimestamp,updatedTimestamp,atlasCategory,atlasStatus,reference,versionTag,title,status,type,ietfStream,publishedDate,deprecatedDate,withdrawnDate,canonicalUrl,canonicalFormat,plainTextUrl,htmlUrl,otherUrl,otherFormat,doi,notes
,,,characterSet,relOnly; relComplete,US-ASCII [ASA X3.4-1963],,American Standard Code for Information Interchange,Superseded,National Standard,,1963-06-17,,,,,,,,,,
,,,characterSet,noReview; relOnly; relComplete,US-ASCII [ASA X3.4-1965],,American Standard Code for Information Interchange,Unpublished; Superseded,National Standard,,1965,,,,,,,,,,
,,,characterSet,relOnly; relComplete,US-ASCII [USAS X3.4-1967],,USA Standard Code for Information Interchange,Superseded,National Standard,,1967-07-07,,,,,,,,,,
,,,characterSet,relOnly; relComplete,US-ASCII [USAS X3.4-1968],,USA Standard Code for Information Interchange,Superseded,National Standard,,1968-10-10,,,,,,,,,,
,,,characterSet,relOnly; relComplete,US-ASCII [ANSI X3.4-1977],,American National Standard Code for Information Interchange,Superseded,National Standard,,1977-06-09,,,,,,,,,,
,,,characterSet,relOnly; relComplete,US-ASCII [ANSI X3.4-1986],,American National Standard for Information Systems - Coded Character Sets - 7-Bit American National Standard Code for Information Interchange (7-Bit ASCII),Superseded,National Standard,,1986-03-26,,,,,,,,,,
,,,characterSet,noReview; relOnly; relComplete,US-ASCII [ANSI X3.4-1986 (R1992)],,American National Standard for Information Systems - Coded Character Sets - 7-Bit American National Standard Code for Information Interchange (7-Bit ASCII),Superseded,National Standard,,1992,,,,,,,,,,Reaffirmation of ANSI X3.4-1986
,,,characterSet,noReview; relOnly; relComplete,US-ASCII [ANSI X3.4-1986 (R1997)],,American National Standard for Information Systems - Coded Character Sets - 7-Bit American National Standard Code for Information Interchange (7-Bit ASCII),Superseded,National Standard,,1997,,,,,,,,,,Reaffirmation of ANSI X3.4-1986
,,,characterSet,noReview; relOnly; relComplete,US-ASCII [ANSI INCITS 4-1986 (R2002)],,American National Standard for Information Systems - Coded Character Sets - 7-Bit American National Standard Code for Information Interchange (7-Bit ASCII),Superseded,National Standard,,2002-12-30,,,https://webstore.ansi.org/standards/incits/ansiincits1986r2002,,,,,,,Reaffirmation of ANSI X3.4-1986
,,,characterSet,relOnly; relComplete,US-ASCII [ANSI INCITS 4-1986 (R2007)],,American National Standard for Information Systems - Coded Character Sets - 7-Bit American National Standard Code for Information Interchange (7-Bit ASCII),Superseded,National Standard,,2007-06-14,,,https://webstore.ansi.org/standards/incits/ansiincits1986r2007,,,,,,,Reaffirmation of ANSI X3.4-1986
,,,characterSet,noReview; relOnly; relComplete,US-ASCII [INCITS 4-1986 (R2012)],,American National Standard for Information Systems - Coded Character Sets - 7-Bit American National Standard Code for Information Interchange (7-Bit ASCII),Superseded,National Standard,,2012-06-15,,,https://webstore.ansi.org/standards/incits/incits1986r2012,,,,,,,Reaffirmation of ANSI X3.4-1986
,,,characterSet,noReview; relOnly; relComplete,US-ASCII [INCITS 4-1986 (R2017)],,American National Standard for Information Systems - Coded Character Sets - 7-Bit American National Standard Code for Information Interchange (7-Bit ASCII),Superseded,National Standard,,2017-11-02,,,https://webstore.ansi.org/standards/incits/incits1986r2017,,,,,,,Reaffirmation of ANSI X3.4-1986
,,,characterSet,noReview; relOnly; relComplete,US-ASCII [INCITS 4-1986 (R2022)],,American National Standard for Information Systems - Coded Character Sets - 7-Bit American National Standard Code for Information Interchange (7-Bit ASCII),Active,National Standard,,2022-09-08,,,https://webstore.ansi.org/standards/incits/incits1986r2022,,,,,,,Reaffirmation of ANSI X3.4-1986
,,,characterSet,noReview; relOnly; relComplete,ECMA-6 (04/1965),Edition 1,7-bit Coded Character Set,Superseded,ECMA Standard,,1965-04,,,,,,,,,,
,,,characterSet,noReview; relOnly; relComplete,ECMA-6 (06/1967),Edition 2,7-bit Coded Character Set,Superseded,ECMA Standard,,1967-06,,,,,,,,,,
,,,characterSet,noReview; relOnly; relComplete,ECMA-6 (07/1970),Edition 3,7-bit Coded Character Set,Superseded,ECMA Standard,,1970-07,,,,,,,,,,
,,,characterSet,relOnly; relComplete,ECMA-6 (08/1973),Edition 4,7-bit Coded Character Set,Superseded,ECMA Standard,,1973-08,,,https://ecma-international.org/wp-content/uploads/ECMA-6_4th_edition_august_1973.pdf,PDF,,,,,,
,,,characterSet,relOnly; relComplete,ECMA-6 (03/1985),Edition 5,7-bit Coded Character Set,Superseded,ECMA Standard,,1985-03,,,https://ecma-international.org/wp-content/uploads/ECMA-6_5th_edition_march_1985.pdf,PDF,,,,,,
,,,characterSet,relOnly; relComplete,ECMA-6 (12/1991),Edition 6,7-bit Coded Character Set,Active,ECMA Standard,,1991-12,,,https://ecma-international.org/wp-content/uploads/ECMA-6_6th_edition_december_1991.pdf,PDF,,,,,,
,,,characterSet,relOnly; relComplete,ISO/R 646:1967,Edition 1,6 and 7 Bit Coded Character Sets for Information Processing Interchange,Withdrawn; Obsoleted,ISO Recommendation,,1967-12,,,https://www.iso.org/standard/963.html,,,,,,,
,,,characterSet,relOnly; relComplete,ISO 646:1973,Edition 1,Information Processing - ISO 7-bit Coded Character Set for Information Interchange,Withdrawn; Superseded,International Standard,,1973-07,,,https://www.iso.org/standard/2823.html,,,,,,,
,,,characterSet,relOnly; relComplete,ISO 646:1983,Edition 2,Information Processing - ISO 7-bit Coded Character Set for Information Interchange,Withdrawn; Superseded,International Standard,,1983-07,,1991-12-16,https://www.iso.org/standard/4776.html,,,,,,,
,,,characterSet,relOnly; relComplete,ISO/IEC 646:1991,Edition 3,Information Processing - ISO 7-bit Coded Character Set for Information Interchange,Active,International Standard,,1991-12,,,https://www.iso.org/standard/4777.html,,,,,,,
,,,characterSet,relOnly; relComplete,CCITT Rec. V.3 (1968),,International Alphabet Number 5,Superseded,ITU-T Recommendation,,1968,,,,,,,http://handle.itu.int/11.1004/020.1000/4.255.43.en.1009,PDF,,"Other URL is Volume VIII of the White Book (1968), V.3 starts on page 11"
,,,characterSet,relOnly; relComplete,CCITT Rec. V.3 (1972),,International Alphabet Number 5,Superseded,ITU-T Recommendation,,1972,,,,,,,http://handle.itu.int/11.1004/020.1000/4.256.43.en.1015,PDF,,"Other URL is Volume VIII of the Green Book (1972), V.3 starts on page 47"
,,,characterSet,relOnly; relComplete,CCITT Rec. V.3 (10/1976),Edition 1,International Alphabet Number 5,Superseded,ITU-T Recommendation,,1976-10,,,https://handle.itu.int/11.1002/1000/10552,,,,http://handle.itu.int/11.1004/020.1000/4.257.43.en.1015,PDF,,"Republication of CCITT Rec. V.3 (1972) || Other URL is Fascicle VIII.1 of the Orange Book (1976), V.3 starts on page 6"
,,,characterSet,relOnly; relComplete,CCITT Rec. V.3 (11/1980),Edition 2,International Alphabet Number 5,Superseded,ITU-T Recommendation,,1980-11,,,https://handle.itu.int/11.1002/1000/8397,,,,http://handle.itu.int/11.1004/020.1000/4.258.43.en.1025,PDF,,"Republication of CCITT Rec. V.3 (1972) || Other URL is Fascicle VIII.1 of the Yellow Book (1980), V.3 starts on page 9"
