authorityGroupId,createdTimestamp,updatedTimestamp,atlasStatus,groupType,reference,title,url,notes
,,,relOnly,versionedAuthority,US-ASCII,American Standard Code for Information Interchange,,
,,,relOnly,versionedAuthority,ECMA-6,7-Bit Coded Character Set,https://ecma-international.org/publications-and-standards/standards/ecma-6/,
,,,relOnly,versionedAuthority,ISO/IEC 646,Information Processing - ISO 7-bit Coded Character Set for Information Interchange,,
,,,relOnly,versionedAuthority,ITU-T Rec. T.50,International Reference Alphabet (IRA) / Information Processing - ISO 7-bit Coded Character Set for Information Interchange ,https://www.itu.int/myworkspace/#/t-rec/item?id=2570,
,,,relOnly,versionedAuthority,ECMA-35,Character Code Structure and Extension Techniques,https://ecma-international.org/publications-and-standards/standards/ecma-35/,
,,,relOnly,versionedAuthority,ISO/IEC 2022,Information technology — Character code structure and extension techniques,,
,,,relOnly,collectedAuthority,ISO/IEC 2022:1994 (as amended),Information technology — Character code structure and extension techniques [ISO/IEC 2022:1994],https://www.iso.org/standard/22747.html,
,,,relOnly,versionedAuthority,ISO/IEC 2375,Information technology – Registered escape sequences and coded character sets,,
,,,relOnly,versionedAuthority,ECMA-43,8-Bit Coded Character Set Structure and Rules,https://ecma-international.org/publications-and-standards/standards/ecma-43/,
,,,relOnly,versionedAuthority,ISO/IEC 4873,Information technology — ISO 8-bit code for information interchange — Structure and rules for implementation,,
,,,relOnly,collectedAuthority,ISO 4873:1979 (as amended),Information processing — 8- bit coded character set for information interchange [ISO 4873:1979],,
,,,relOnly,versionedAuthority,ECMA-48,Control Functions for Coded Character Sets,https://ecma-international.org/publications-and-standards/standards/ecma-48/,
,,,relOnly,versionedAuthority,ISO/IEC 6429,Information technology — Control functions for coded character sets,,
,,,relOnly,versionedAuthority,ISO/IEC 6937,Information technology — Coded graphic character set for text communication — Latin alphabet,,
,,,relOnly,collectedAuthority,ISO 6937-2:1983 (as amended),Information processing — Coded character sets for text communication — Part 2: Latin alphabetic and non-alphabetic graphic characters,,
,,,relOnly,versionedAuthority,ITU-T Rec. T.51,Latin Based Coded Character Sets for Telematic Services,,
,,,relOnly,collectedAuthority,ITU-T Rec. T.51 (09/1992) (as amended),Latin Based Coded Character Sets for Telematic Services [ITU-T Rec. T.51 (09/1992)],,
,,,relOnly,versionedAuthority,ITU-T Rec. T.52,Non-Latin Coded Character Sets for Telematic Services,,
,,,relOnly,collectedAuthority,ITU-T Rec. T.52 (03/1993) (as amended),Non-Latin Coded Character Sets for Telematic Services [ITU-T Rec. T.52 (03/1993)],,
,,,relOnly,versionedAuthority,ITU-T Rec. T.61,Character Repertoire and Coded Character Sets for the International Teletex Service,,
,,,relOnly,versionedAuthority,ITU-T Rec. T.100,International Information Exchange for Interactive Videotex,,
,,,relOnly,versionedAuthority,ITU-T Rec. T.101,International Interworking for Videotex Services,,
,,,relOnly,collectedAuthority,ITU-T Recs. T.100/T.101,Videotex Services,,
,,,relOnly,collectedAuthority,ISO/IEC 8859,Information technology — 8-bit single-byte coded graphic character sets,,
,,,relOnly,versionedAuthority,ISO/IEC 10367,Information technology — Standardized coded graphic character sets for use in 8-bit codes,,
,,,relOnly,collectedAuthority,Unicode 1.0 (as amended),The Unicode Standard [Unicode 1.0],,
,,,relOnly,versionedAuthority,Unicode,The Unicode Standard,https://www.unicode.org/versions/enumeratedversions.html,
,,,relOnly,versionedAuthority,ISO/IEC 10646,Information technology — Universal Multiple-Octet Coded Character Set (UCS),,
,,,relOnly,collectedAuthority,ISO/IEC 10646-1:1993 (as amended),Information technology — Universal Multiple-Octet Coded Character Set (UCS) — Part 1: Architecture and Basic Multilingual Plane [ISO/IEC 10646-1:1993],https://www.iso.org/standard/18741.html,
,,,relOnly,collectedAuthority,ISO/IEC 10646-1:1993 (Unicode 2.0),Information technology — Universal Multiple-Octet Coded Character Set (UCS) — Part 1: Architecture and Basic Multilingual Plane [ISO/IEC 10646-1:1993] (equivalent to Unicode 2.0),,Subset of amendments to ISO/IEC 10464-1:1993 for Unicode equivalence
,,,relOnly,collectedAuthority,ISO/IEC 10646-1:2000 (as amended),Information technology — Universal Multiple-Octet Coded Character Set (UCS) — Part 1: Architecture and Basic Multilingual Plane [ISO/IEC 10646-1:2000],https://www.iso.org/standard/29819.html,
,,,relOnly,collectedAuthority,ISO/IEC 10646:2000/2001 (Unicode 3.1),Information technology — Universal Multiple-Octet Coded Character Set (UCS) [ISO/IEC 10646-1:2000 and ISO/IEC 10646-2:2001] (equivalent to Unicode 3.1),,Combination of ISO/IEC 10646-1:2000 and ISO/IEC 10646-2:2001 for Unicode equivalence
,,,relOnly,collectedAuthority,ISO/IEC 10646:2000/2001 (Unicode 3.2),Information technology — Universal Multiple-Octet Coded Character Set (UCS) [ISO/IEC 10646-1:2000 and ISO/IEC 10646-2:2001] (equivalent to Unicode 3.2),,Combination of ISO/IEC 10646-1:2000 (amended) and ISO/IEC 10646-2:2001 for Unicode equivalence
,,,relOnly,collectedAuthority,ISO/IEC 10646:2003 (as amended),Information technology — Universal Multiple-Octet Coded Character Set (UCS) [ISO/IEC 10646:2003],https://www.iso.org/standard/39921.html,
,,,relOnly,collectedAuthority,ISO/IEC 10646:2003 (Unicode 4.1),Information technology — Universal Multiple-Octet Coded Character Set (UCS) [ISO/IEC 10646:2003] (equivalent to Unicode 4.1),,Subset of amendments to ISO/IEC 10464:2003 for Unicode equivalence
,,,relOnly,collectedAuthority,ISO/IEC 10646:2003 (Unicode 5.0),Information technology — Universal Multiple-Octet Coded Character Set (UCS) [ISO/IEC 10646:2003] (equivalent to Unicode 5.0),,Subset of amendments to ISO/IEC 10464:2003 for Unicode equivalence
,,,relOnly,collectedAuthority,ISO/IEC 10646:2003 (Unicode 5.1),Information technology — Universal Multiple-Octet Coded Character Set (UCS) [ISO/IEC 10646:2003] (equivalent to Unicode 5.1),,Subset of amendments to ISO/IEC 10464:2003 for Unicode equivalence
,,,relOnly,collectedAuthority,ISO/IEC 10646:2003 (Unicode 5.2),Information technology — Universal Multiple-Octet Coded Character Set (UCS) [ISO/IEC 10646:2003] (equivalent to Unicode 5.2),,Subset of amendments to ISO/IEC 10464:2003 for Unicode equivalence
,,,relOnly,collectedAuthority,ISO/IEC 10646:2012 (as amended),Information technology — Universal Multiple-Octet Coded Character Set (UCS) [ISO/IEC 10646:2012],https://www.iso.org/standard/56921.html,
,,,relOnly,collectedAuthority,ISO/IEC 10646:2014 (as amended),Information technology — Universal Multiple-Octet Coded Character Set (UCS) [ISO/IEC 10646:2014],https://www.iso.org/standard/63182.html,
,,,relOnly,collectedAuthority,ISO/IEC 10646:2014 (Unicode 8.0),Information technology — Universal Multiple-Octet Coded Character Set (UCS) [ISO/IEC 10646:2014] (equivalent to Unicode 8.0),,Subset of amendments to ISO/IEC 10464:2014 for Unicode equivalence
