relationshipId,createdTimestamp,updatedTimestamp,relationshipType,sourceNodeType,sourceNodeAttr,sourceNodeValue,targetNodeType,targetNodeAttr,targetNodeValue,affiliation,referenceType,sourceAuthoritySection,targetAuthoritySection,relationship,notes
,,,HAS_CHILD_ORG,ControllingOrg,shortName,ISO,ControllingOrg,shortName,ISO/IEC JTC 1,,,,,,
,,,HAS_CHILD_ORG,ControllingOrg,shortName,IEC,ControllingOrg,shortName,ISO/IEC JTC 1,,,,,,
,,,SUCCEEDED_ORG,ControllingOrg,shortName,ISO/IEC JTC 1,ControllingOrg,shortName,ISO TC 97,,,,,,
,,,SUCCEEDED_ORG,ControllingOrg,shortName,ISO/IEC JTC 1,ControllingOrg,shortName,IEC TC 83,,,,,,
,,,HAS_CHILD_ORG,ControllingOrg,shortName,ISO/IEC JTC 1,ControllingOrg,shortName,JTC1 SC 2,,,,,,
,,,PREVIOUSLY_KNOWN_AS,ControllingOrg,shortName,JTC1 SC 2,ControllingOrg,shortName,TC97 SC 2,,,,,,
,,,HAS_CHILD_ORG,ControllingOrg,shortName,ISO/IEC JTC 1,ControllingOrg,shortName,JTC1 SC 6,,,,,,
,,,HAS_CHILD_ORG,ControllingOrg,shortName,ISO/IEC JTC 1,ControllingOrg,shortName,JTC1 SC 14,,,,,,
,,,HAS_CHILD_ORG,ControllingOrg,shortName,ISO/IEC JTC 1,ControllingOrg,shortName,JTC1 SC 17,,,,,,
,,,HAS_CHILD_ORG,ControllingOrg,shortName,ISO/IEC JTC 1,ControllingOrg,shortName,JTC1 SC 18,,,,,,
,,,PREVIOUSLY_KNOWN_AS,ControllingOrg,shortName,JTC1 SC 18,ControllingOrg,shortName,TC97 SC 18,,,,,,
,,,HAS_CHILD_ORG,ControllingOrg,shortName,ISO/IEC JTC 1,ControllingOrg,shortName,JTC1 SC 21,,,,,,
,,,HAS_CHILD_ORG,ControllingOrg,shortName,ISO/IEC JTC 1,ControllingOrg,shortName,JTC1 SC 22,,,,,,
,,,HAS_CHILD_ORG,ControllingOrg,shortName,ISO/IEC JTC 1,ControllingOrg,shortName,JTC1 SC 27,,,,,,
,,,HAS_CHILD_ORG,ControllingOrg,shortName,ISO/IEC JTC 1,ControllingOrg,shortName,JTC1 SC 30,,,,,,
,,,HAS_CHILD_ORG,ControllingOrg,shortName,ISO/IEC JTC 1,ControllingOrg,shortName,JTC1 SC 32,,,,,,
,,,HAS_CHILD_ORG,ControllingOrg,shortName,ISO/IEC JTC 1,ControllingOrg,shortName,JTC1 SC 34,,,,,,
,,,SUCCEEDED_ORG,ControllingOrg,shortName,JTC1 SC 34,ControllingOrg,shortName,JTC1 SC 18,,,,,,
,,,HAS_CHILD_ORG,ControllingOrg,shortName,ISO/IEC JTC 1,ControllingOrg,shortName,JTC1 SC 37,,,,,,
,,,HAS_CHILD_ORG,ControllingOrg,shortName,ISO,ControllingOrg,shortName,ISO TC 46,,,,,,
,,,HAS_CHILD_ORG,ControllingOrg,shortName,ISO,ControllingOrg,shortName,ISO TC 97,,,,,,
,,,HAS_CHILD_ORG,ControllingOrg,shortName,ISO,ControllingOrg,shortName,ISO TC 154,,,,,,
,,,HAS_CHILD_ORG,ControllingOrg,shortName,ISO TC 97,ControllingOrg,shortName,TC97 SC 2,,,,,,
,,,HAS_CHILD_ORG,ControllingOrg,shortName,ISO TC 97,ControllingOrg,shortName,TC97 SC 18,,,,,,
,,,HAS_CHILD_ORG,ControllingOrg,shortName,ITU,ControllingOrg,shortName,CCITT (ITU-T),,,,,,
,,,HAS_CHILD_ORG,ControllingOrg,shortName,CCITT (ITU-T),ControllingOrg,shortName,CCITT JWP NRD (1972),,,,,,
,,,HAS_CHILD_ORG,ControllingOrg,shortName,CCITT (ITU-T),ControllingOrg,shortName,CCITT SG 7 (1976),,,,,,
,,,SUCCEEDED_ORG,ControllingOrg,shortName,CCITT SG 7 (1976),ControllingOrg,shortName,CCITT JWP NRD (1972),,,,,,
,,,HAS_CHILD_ORG,ControllingOrg,shortName,CCITT (ITU-T),ControllingOrg,shortName,CCITT SG 7 (1980),,,,,,
,,,PREVIOUSLY_KNOWN_AS,ControllingOrg,shortName,CCITT SG 7 (1980),ControllingOrg,shortName,CCITT SG 7 (1976),,,,,,
,,,HAS_CHILD_ORG,ControllingOrg,shortName,CCITT (ITU-T),ControllingOrg,shortName,CCITT SG 7 (1984),,,,,,
,,,PREVIOUSLY_KNOWN_AS,ControllingOrg,shortName,CCITT SG 7 (1984),ControllingOrg,shortName,CCITT SG 7 (1980),,,,,,
,,,HAS_CHILD_ORG,ControllingOrg,shortName,CCITT (ITU-T),ControllingOrg,shortName,CCITT SG 7 (1988),,,,,,
